	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
10	1015.05, -3	1023.43, -3	1030.63, -3	1036.86, -2	1042.69, -2	1047.33, -2	1051.04, -2	1054.06, -2	1056.58, -1	1058.70, -1	1060.39, -1	1061.73, -1	1062.76, -1	1063.52, -1	1064.03, -1	1064.34, -1	1064.47, -1	1064.46, -1	1064.35, -1	1063.86, -1	1062.70, 0	
11	1026.53, -3	1034.70, -3	1041.61, -3	1047.29, -3	1052.57, -2	1056.84, -2	1060.19, -2	1062.85, -2	1064.99, -2	1066.71, -2	1068.07, -2	1069.13, -1	1069.93, -1	1070.48, -1	1070.80, -1	1070.94, -1	1070.92, -2	1070.83, -2	1070.52, -1	1069.93, -1	1068.49, 0	
12	1037.37, -4	1045.14, -3	1051.78, -3	1057.13, -3	1061.73, -2	1065.68, -2	1068.70, -2	1071.04, -2	1072.87, -2	1074.31, -2	1075.41, -2	1076.23, -2	1076.80, -2	1077.15, -2	1077.31, -2	1077.30, -2	1077.17, -2	1076.97, -2	1076.39, -2	1075.68, -1	1074.01, 0	
13	1047.78, -4	1054.83, -3	1061.21, -3	1066.26, -3	1070.28, -2	1073.93, -2	1076.64, -2	1078.69, -2	1080.25, -2	1081.44, -2	1082.31, -2	1082.92, -2	1083.31, -2	1083.48, -2	1083.49, -2	1083.34, -2	1083.09, -2	1082.78, -2	1082.11, -2	1081.17, -1	1079.33, 0	
14	1057.44, -4	1063.84, -3	1070.00, -3	1074.77, -3	1078.38, -3	1081.64, -2	1084.08, -2	1085.87, -2	1087.19, -2	1088.15, -2	1088.83, -2	1089.25, -2	1089.47, -2	1089.50, -2	1089.36, -2	1089.09, -2	1088.73, -2	1088.32, -2	1087.57, -2	1086.46, -1	1084.51, 0	
15	1066.43, -4	1072.49, -4	1078.20, -3	1082.72, -3	1086.06, -3	1088.88, -2	1091.08, -2	1092.64, -2	1093.74, -2	1094.51, -2	1095.00, -2	1095.26, -2	1095.33, -2	1095.23, -2	1094.97, -2	1094.60, -2	1094.13, -2	1093.64, -2	1092.83, -2	1091.60, -1	1089.61, 0	
16	1074.81, -4	1080.67, -4	1085.87, -3	1090.17, -3	1093.27, -3	1095.69, -2	1097.68, -2	1099.03, -2	1099.95, -2	1100.54, -2	1100.88, -2	1101.01, -2	1100.95, -2	1100.73, -2	1100.38, -2	1099.91, -2	1099.37, -2	1098.81, -2	1097.94, -2	1096.67, -1	1094.70, 0	
17	1082.65, -4	1088.32, -4	1093.06, -3	1097.16, -3	1100.05, -3	1102.10, -2	1103.91, -2	1105.09, -2	1105.86, -2	1106.31, -2	1106.52, -2	1106.53, -2	1106.36, -2	1106.06, -2	1105.62, -2	1105.08, -2	1104.48, -2	1103.88, -2	1102.97, -2	1101.71, -1	1099.78, 0	
18	1089.99, -4	1095.49, -4	1099.80, -3	1103.73, -3	1106.43, -3	1108.25, -3	1109.79, -2	1110.85, -2	1111.48, -2	1111.83, -2	1111.93, -2	1111.86, -2	1111.62, -2	1111.24, -2	1110.75, -2	1110.17, -2	1109.53, -2	1108.90, -2	1107.98, -2	1106.75, -1	1104.77, 0	
19	1096.85, -4	1102.21, -4	1106.09, -3	1109.88, -3	1112.43, -3	1114.10, -3	1115.30, -2	1116.26, -2	1116.82, -2	1117.09, -2	1117.13, -2	1116.99, -2	1116.70, -2	1116.29, -2	1115.76, -2	1115.16, -2	1114.52, -2	1113.89, -2	1112.97, -2	1111.69, -1	1109.44, 0	
20	1103.24, -4	1108.51, -4	1112.28, -4	1116.07, -3	1118.68, -3	1120.86, -2	1122.71, -1	1124.29, -1	1125.20, -1	1125.99, 0	1126.48, 0	1126.70, 0	1126.70, 0	1126.53, 0	1126.23, 0	1125.83, 0	1125.34, 0	1124.81, 0	1124.27, 0	1123.75, 0	1122.96, 0	
